点検掲示種類ID,点検工事案内,受注カテゴリーID,掲示板に表示する,案内TPLNo,掲示板用案内文,frame_No,案内画像,概要,表示開始日前日数,表示終了日後日数,表示時間,統合ポリシー
132,外壁塗装工事,153,True,construction_roller_paint,工事のため敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
133,床タイル補修工事,146,True,construction_involving_sound_vibration,工事のため敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
134,宅配ボックス修理,154,True,delivery_box_stop_using,"作業状況によっては入出庫に多少お待ち頂く場合がございます。_x000D_
入出庫の際は点検員へお声をかけて頂きますよう、お願い致します。",2,,,30,0,1900-12-30 00:00:12,M
135,宅配ボックス設置工事,154,True,delivery_box,作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
137,インターホンメンテンス作業,155,True,construction_involving_sound_vibration,作業のため、建物内に作業員が立ち入りいたします　工事中に警報等が鳴る場合もございます,2,,,30,0,1900-12-30 00:00:12,M
138,住戸インターホン取替作業,155,True,construction_involving_sound_vibration,作業のため、建物内に作業員が立ち入りいたします　工事中に警報等が鳴る場合もございます,2,,,30,0,1900-12-30 00:00:12,M
139,避雷針工事,156,True,construction_spanner,工事のため敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
140,避雷針調査,156,True,building_inspection,調査のため、屋上、建物内に作業員が立ち入りいたします,2,,,30,0,1900-12-30 00:00:12,M
141,受水槽メンテナンス工事,157,True,construction_spanner,メンテナンス作業のため敷地内に作業員が立ち入ります,2,,,30,0,1900-12-30 00:00:12,M
142,受水槽ボールタップ取替作業,157,True,construction_toolbox,メンテナンス作業のため敷地内に作業員が立ち入ります,2,,,30,0,1900-12-30 00:00:12,M
143,受水槽塗装工事,157,True,construction_roller_paint,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
144,受水槽取替工事,157,True,construction_involving_sound_vibration,断水中は蛇口を閉めて下さい。断水中に蛇口を開けると、閉め忘れて漏水事故の恐れがあります。断水前に飲料水等の必要な水の確保をお願いします。,2,,,30,0,1900-12-30 00:00:12,M
146,メールボックス取替工事,158,True,construction_toolbox,作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
147,メールボックス更新工事,158,True,construction_toolbox,工事中皆様にご不便をおかけいたします,2,,,30,0,1900-12-30 00:00:12,M
148,メールボックス部品取替作業,158,True,construction_toolbox,メンテナンス作業のため敷地内に作業員が立ち入ります,2,,,30,0,1900-12-30 00:00:12,M
149,排水管更新工事,159,True,construction_spanner,作業には音と振動を伴います。工事中、水を流すことができません。皆様にご不便をおかけいたします,2,,,30,0,1900-12-30 00:00:12,M
150,共用部　鳩ネット取付工事,160,True,construction_involving_sound_vibration,共用部のベランダに鳩ネット取付けます　工事中は、ﾌﾟﾗｲﾊﾞｼｰ保護のためベランダの窓を閉めてください,2,,,30,0,1900-12-30 00:00:12,M
151,害虫駆除調査,160,True,Investigation,調査のため、建物内に調査員が立ち入りいたします,2,,,30,0,1900-12-30 00:00:12,M
152,害虫駆除消毒,160,True,disinfection,消毒中皆様にご不便をおかけいたします,2,,,30,0,1900-12-30 00:00:12,M
153,通路特別清掃,161,True,high_pressure_cleaning_2,"床面が滑りやすくなっている場合があります。ご通行の際はご注意下さい。一時的に通行をご遠慮いただく事もございます。ご協力お願いします。_x000D_
＊雨天などの理由で、清掃日時を変更させて頂く場合もございます。",2,,,30,0,1900-12-30 00:00:12,M
154,通路　階段特別清掃,161,True,high_pressure_cleaning_2,"床面が滑りやすくなっている場合があります。ご通行の際はご注意下さい。一時的に通行をご遠慮いただく事もございます。ご協力お願いします。_x000D_
＊雨天などの理由で、清掃日時を変更させて頂く場合もございます。",2,,,30,0,1900-12-30 00:00:12,M
155,階段特別清掃,161,True,high_pressure_cleaning,"床面が滑りやすくなっている場合があります。ご通行の際はご注意下さい。一時的に通行をご遠慮いただく事もございます。ご協力お願いします。_x000D_
＊雨天などの理由で、清掃日時を変更させて頂く場合もございます。",2,,,30,0,1900-12-30 00:00:12,M
156,共用廊下床シート工事,161,True,exchange_corridor,工事のため敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
157,感知器取替工事,162,True,fire_exchange,取替作業のため敷地内に作業員が立ち入ります,2,,,30,0,1900-12-30 00:00:12,M
158,防犯カメラ工事,163,True,surveillance_camera_installation_work,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
159,侵入防護柵工事,163,True,electrical_measurement,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
160,セキュリティ工事,163,True,construction_toolbox,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
161,出入口シャッター工事,164,True,construction_toolbox,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。皆様のご理解をお願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
162,屋内防火シャッター工事,164,True,construction_toolbox,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。皆様のご理解をお願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
163,屋外防火シャッター工事,164,True,construction_toolbox,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。皆様のご理解をお願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
164,消火ポンプメンテナンス,44,True,construction_spanner,取替作業のため敷地内に作業員が立ち入ります,2,,,30,0,1900-12-30 00:00:12,M
165,排水ポンプ取替工事,44,True,construction_spanner,工事のため作業員が出入りいたします,2,,,30,0,1900-12-30 00:00:12,M
166,消防ホース取替,51,True,construction_toolbox,取替作業のため敷地内に作業員が立ち入ります,2,,,30,0,1900-12-30 00:00:12,M
167,消防ホース耐圧試験,51,True,construction_toolbox,耐圧試験のためマンション内に作業員が立ち入ります。,2,,,30,0,1900-12-30 00:00:12,M
168,屋上看板LED取替工事,137,True,construction_building_large_scale,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
169,共用部照明LED変更工事,137,True,exchange_light_battery,工事のためマンション敷地内に作業員が立ち入ります。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
170,照明器具更新工事,137,True,exchange_light_battery,照明器具取替のためマンション敷地内に作業員が立ち入ります。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。,0,,,30,0,1900-12-30 00:00:12,M
171,衛星アンテナ取替工事,140,True,construction_television_equipment,アンテナ工事に伴い、一時テレビが映らない場合があります。,2,,,30,0,1900-12-30 00:00:12,M
172,テレビ視聴設備調査,140,True,building_inspection,テレビ視聴設備調査のため　マンション敷地内に作業員が立ち入ります。,2,,,30,0,1900-12-30 00:00:12,M
173,住戸玄関ドア枠塗装,141,True,construction_roller_paint,塗装工事のためマンション敷地内に作業員が立ち入ります。塗装部分には乾くまで触らないようお願いします。、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
174,共用ドア塗装工事,141,True,construction_roller_paint,塗装工事のためマンション敷地内に作業員が立ち入ります。塗装部分には乾くまで触らないようお願いします。、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
175,エレベータドア塗装工事,141,True,construction_roller_paint,塗装工事のためマンション敷地内に作業員が立ち入ります。塗装部分には乾くまで触らないようお願いします。、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
176,自動火災報知更新工事,143,True,construction_toolbox,工事中に、インターホンが使用できないﾊ場合がございます。試験のため、警報等が鳴る場合がございます。皆様にご不便をおかけいたします,2,,,30,0,1900-12-30 00:00:12,M
177,消火器取替,143,True,fire_extinguisher_explain,作業のためマンション内に作業員が出入りいたします。,2,,,30,0,1900-12-30 00:00:12,M
178,ゴミ置場改修工事,146,True,construction_roller_paint,工事のため敷地内に作業員が立ち入り、作業には音と振動を伴います。皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
179,外構工事,146,True,construction_roller_paint,工事のため敷地内に作業員が立ち入り、作業には音と振動を伴います。皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
180,給水管更新工事,159,True,construction_spanner,断水中は蛇口を閉めて下さい。断水中に蛇口を開けると、閉め忘れて漏水事故の恐れがあります。断水前に飲料水等の必要な水の確保をお願いします。トイレご排水にはお風呂の汲み置きが有効です。,2,,,30,0,1900-12-30 00:00:12,M
181,電気設備工事,93,True,electrical_measurement,取替作業のため敷地内に作業員が立ち入ります,2,,,30,0,1900-12-30 00:00:12,M
182,電気設備取替工事,165,True,construction_toolbox,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。皆様のご理解をお願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
183,消火用ボックス塗装工事,141,True,painting_water_pipe,塗装工事のためマンション敷地内に作業員が立ち入ります。塗装部分には乾くまで触らないようお願いします。、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
186,給水ポンプ更新工事(断水）,44,True,water_activator_construction,断水中は蛇口を閉めて下さい。断水中に蛇口を開けると、閉め忘れて漏水事故の恐れがあります。断水前に飲料水等の必要な水の確保をお願いします。,2,,,30,0,1900-12-30 00:00:12,M
187,防鳩工事のお知らせ,160,True,protect_balcony_from_birds,お部屋ののベランダで工事を行います。作業には音と振動を伴います。,2,,,30,0,1900-12-30 00:00:12,M
187,ハトネット工事のお知らせ,160,True,protect_balcony_from_birds_2,お部屋ののベランダで工事を行います。作業には音と振動を伴います。,2,,,30,0,1900-12-30 00:00:12,M
